Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,2.0,1400.0000000014002,0.0,4.0,800.0000000008001,0.0
2,6.5,850.0000000008503,3825.0000000038262,7.5,550.0000000005499,1925.0000000019247
3,6.8,840.0000000008401,4032.0000000040327,8.0,480.00000000048004,1920.0000000019202
4,7.0,850.00000000085,4250.00000000425,8.5,400.0000000004002,1800.0000000018008
5,7.5,720.0000000007199,3960.000000003959,8.2,510.00000000051034,2142.000000002143
6,6.5,930.0000000009303,4185.000000004186,8.3,390.0000000003899,1677.0000000016769
7,7.2,770.00000000077,4004.000000004004,8.1,500.00000000050017,2050.0000000020505
8,7.0,840.0000000008401,4200.000000004201,8.4,420.0000000004201,1848.0000000018485
9,7.3,800.0000000008002,4240.000000004241,8.6,410.00000000041,1886.0000000018858
10,7.4,790.00000000079,4266.000000004266,8.7,400.0000000004002,1880.0000000018806
11,7.6,730.00000000073,4088.0000000040877,8.5,460.00000000046015,2070.0000000020705
12,7.1,860.0000000008603,4386.000000004387,8.8,350.00000000034976,1680.0000000016792
13,7.4,810.0000000008101,4374.000000004375,8.9,360.00000000035993,1764.0000000017637
14,7.1,820.0000000008203,4182.000000004183,8.4,430.00000000043,1892.0000000018922
15,7.2,810.00000000081,4212.000000004212,8.5,420.00000000042013,1890.0000000018906
16,7.5,760.00000000076,4180.00000000418,8.6,430.0000000004301,1978.0000000019782
17,7.2,840.0000000008401,4368.000000004369,8.8,360.0000000003598,1728.0000000017274
18,7.3,810.0000000008101,4293.000000004294,8.7,390.0000000003901,1833.0000000018333
19,7.4,810.0000000008101,4374.000000004375,8.9,360.00000000035993,1764.0000000017637
20,7.5,780.0000000007801,4290.000000004291,8.8,390.0000000003899,1872.0000000018717
21,7.7,690.0000000006901,3933.0000000039336,8.3,510.00000000051,2193.0000000021932
22,7.8,680.0000000006801,3944.0000000039445,8.4,500.00000000050005,2200.0000000022005
23,7.6,730.00000000073,4088.0000000040877,8.5,460.00000000046015,2070.0000000020705
24,7.9,670.00000000067,3953.000000003953,8.5,490.0000000004902,2205.000000002206
25,7.8,680.0000000006801,3944.0000000039445,8.4,500.00000000050005,2200.0000000022005
26,7.9,670.00000000067,3953.000000003953,8.5,490.0000000004902,2205.000000002206
27,7.8,700.0000000007001,4060.0000000040604,8.6,460.00000000046003,2116.000000002116
28,7.9,670.00000000067,3953.000000003953,8.5,490.0000000004902,2205.000000002206
29,7.7,700.0000000007,3990.00000000399,8.4,490.0000000004901,2156.0000000021564
30,7.5,760.00000000076,4180.00000000418,8.6,430.0000000004301,1978.0000000019782
31,7.6,750.00000000075,4200.0000000042,8.7,420.00000000042013,1974.0000000019743
32,7.8,700.0000000007001,4060.0000000040604,8.6,460.00000000046003,2116.000000002116
33,7.7,710.00000000071,4047.000000004047,8.5,470.0000000004702,2115.000000002116
34,7.8,690.0000000006901,4002.0000000040022,8.5,480.00000000048016,2160.0000000021605
35,7.6,720.0000000007201,4032.0000000040322,8.4,480.00000000048004,2112.0000000021123
36,7.4,760.0000000007601,4104.000000004105,8.4,460.00000000046003,2024.0000000020243
37,7.7,730.00000000073,4161.000000004161,8.7,430.0000000004302,2021.0000000020216
38,7.6,760.0000000007602,4256.000000004257,8.8,400.00000000039984,1920.0000000019195
39,7.6,750.00000000075,4200.0000000042,8.7,420.00000000042013,1974.0000000019743
40,7.5,770.0000000007699,4235.000000004235,8.7,410.0000000004102,1927.0000000019277
41,7.8,700.0000000007001,4060.0000000040604,8.6,460.00000000046003,2116.000000002116
42,7.7,720.00000000072,4104.000000004104,8.6,450.0000000004501,2070.00000000207
43,7.5,780.0000000007801,4290.000000004291,8.8,390.0000000003899,1872.0000000018717
44,7.7,710.00000000071,4047.000000004047,8.5,470.0000000004702,2115.000000002116
45,7.7,730.00000000073,4161.000000004161,8.7,430.0000000004302,2021.0000000020216
46,7.5,780.0000000007801,4290.000000004291,8.8,390.0000000003899,1872.0000000018717
47,7.5,750.0000000007499,4125.000000004125,8.5,450.0000000004502,2025.000000002026
48,7.5,750.0000000007499,4125.000000004125,8.5,450.0000000004502,2025.000000002026
49,7.9,680.00000000068,4012.0000000040122,8.6,470.0000000004701,2162.0000000021623
50,7.5,760.00000000076,4180.00000000418,8.6,430.0000000004301,1978.0000000019782
51,7.5,750.0000000007499,4125.000000004125,8.5,450.0000000004502,2025.000000002026
52,7.6,730.00000000073,4088.0000000040877,8.5,460.00000000046015,2070.0000000020705
53,7.6,740.0000000007401,4144.000000004145,8.6,440.00000000044,2024.0000000020239
54,7.7,720.00000000072,4104.000000004104,8.6,450.0000000004501,2070.00000000207
55,7.5,760.00000000076,4180.00000000418,8.6,430.0000000004301,1978.0000000019782
56,7.5,760.00000000076,4180.00000000418,8.6,430.0000000004301,1978.0000000019782
57,7.8,720.0000000007202,4176.000000004177,8.8,420.00000000041985,2016.0000000020157
58,7.5,790.00000000079,4345.000000004345,8.9,370.00000000037,1813.000000001813
59,7.6,750.00000000075,4200.0000000042,8.7,420.00000000042013,1974.0000000019743
60,7.4,810.0000000008101,4374.000000004375,8.9,360.00000000035993,1764.0000000017637
61,7.9,690.00000000069,4071.000000004071,8.7,450.0000000004502,2115.0000000021155
62,7.7,750.00000000075,4275.0000000042755,8.9,390.00000000039,1911.000000001911
63,7.8,720.0000000007202,4176.000000004177,8.8,420.00000000041985,2016.0000000020157
64,7.6,760.0000000007602,4256.000000004257,8.8,400.00000000039984,1920.0000000019195
65,7.8,710.00000000071,4118.000000004117,8.7,440.00000000044014,2068.000000002068
66,7.7,730.00000000073,4161.000000004161,8.7,430.0000000004302,2021.0000000020216
67,7.7,740.0000000007401,4218.000000004219,8.8,410.0000000004099,1968.0000000019677
68,7.6,750.00000000075,4200.0000000042,8.7,420.00000000042013,1974.0000000019743
69,7.7,740.0000000007401,4218.000000004219,8.8,410.0000000004099,1968.0000000019677
70,7.8,720.0000000007202,4176.000000004177,8.8,420.00000000041985,2016.0000000020157
71,7.8,710.00000000071,4118.000000004117,8.7,440.00000000044014,2068.000000002068
72,7.7,740.0000000007401,4218.000000004219,8.8,410.0000000004099,1968.0000000019677
73,7.5,780.0000000007801,4290.000000004291,8.8,390.0000000003899,1872.0000000018717
74,7.5,770.0000000007699,4235.000000004235,8.7,410.0000000004102,1927.0000000019277
75,7.7,740.0000000007401,4218.000000004219,8.8,410.0000000004099,1968.0000000019677
76,7.6,760.0000000007602,4256.000000004257,8.8,400.00000000039984,1920.0000000019195
77,7.5,790.00000000079,4345.000000004345,8.9,370.00000000037,1813.000000001813
78,7.8,720.0000000007202,4176.000000004177,8.8,420.00000000041985,2016.0000000020157
